timestamp,open,high,low,close,volume
2026-01-01 00:00:00,100,101,99,100,1000
2026-01-01 00:01:00,100,102,99,101,1000
2026-01-01 00:02:00,101,103,100,102,1000
2026-01-01 00:03:00,102,104,101,103,1000
2026-01-01 00:04:00,103,105,102,104,1000
2026-01-01 00:05:00,104,106,103,105,1000
2026-01-01 00:06:00,105,106,102,103,1000
2026-01-01 00:07:00,103,104,100,101,1000
2026-01-01 00:08:00,101,102,98,99,1000
2026-01-01 00:09:00,99,100,97,98,1000
2026-01-01 00:10:00,98,101,97,100,1000
2026-01-01 00:11:00,100,103,99,102,1000
2026-01-01 00:12:00,102,105,101,104,1000
2026-01-01 00:13:00,104,107,103,106,1000
2026-01-01 00:14:00,106,109,105,108,1000
2026-01-01 00:15:00,108,110,107,109,1000
2026-01-01 00:16:00,109,111,106,107,1000
2026-01-01 00:17:00,107,108,104,105,1000
2026-01-01 00:18:00,105,106,102,103,1000
2026-01-01 00:19:00,103,105,101,104,1000
